Date_heure,T (�C),H (%),PR(%),P(watts),TDS (mg/l),PH,PGF (bars),VFE,
2024-01-01 00:00:00,9.00,15.00,2.00,347,0,7.15,1,0,
2024-01-01 00:02:00,8.99,15.05,2.00,298,0,7.15,1.003,0,
2024-01-01 00:04:00,8.97,15.10,4.00,304,0,7.15,1.006,0,
2024-01-01 00:06:00,8.96,15.16,4.00,305,0,7.15,1.009,0,
2024-01-01 00:08:00,8.95,15.21,4.00,302,0,7.15,1.012,0,
2024-01-01 00:10:00,8.94,15.26,4.00,305,0,7.15,1.015,0,
2024-01-01 00:12:00,8.92,15.31,5.00,288,0,7.15,1.018,0,
2024-01-01 00:14:00,8.91,15.36,8.00,287,0,7.15,1.021,0,
2024-01-01 00:16:00,8.90,15.42,12.00,288,0,7.15,1.024,0,
2024-01-01 00:18:00,8.88,15.47,18.00,288,0,7.15,1.027,0,
2024-01-01 00:20:00,8.87,15.52,19.00,288,0,7.15,1.03,0,
2024-01-01 00:22:00,8.86,15.57,34.43,44,28.29,6.89,1.033,0,
2024-01-01 00:24:00,8.84,15.62,34.42,46,30.36,6.97,1.036,0,
2024-01-01 00:26:00,8.83,15.68,34.42,321,305.43,7.00,1.039,0,
2024-01-01 00:28:00,8.82,15.73,34.41,300,284.50,7.22,1.042,0,
2024-01-01 00:30:00,8.81,15.78,34.40,250,234.57,7.37,1.045,0,
2024-01-01 00:32:00,8.79,15.83,34.40,278,262.64,7.52,1.048,0,
2024-01-01 00:34:00,8.78,15.88,34.39,290,274.72,7.67,1.051,0,
2024-01-01 00:36:00,8.77,15.94,34.38,255,239.79,7.82,1.054,0,
2024-01-01 00:38:00,8.75,15.99,34.38,278,262.86,7.59,1.057,0,
2024-01-01 00:40:00,8.74,16.04,34.37,243,227.93,7.36,1.06,0,
2024-01-01 00:42:00,8.73,16.09,34.36,220,205.00,7.13,1.063,0,
2024-01-01 00:44:00,8.71,16.14,34.36,235,220.07,7.03,1.066,0,
2024-01-01 00:46:00,8.70,16.20,34.35,215,200.14,7.36,1.069,0,
2024-01-01 00:48:00,8.69,16.25,34.34,196,181.22,7.69,1.072,0,
2024-01-01 00:50:00,8.68,16.30,34.34,198,183.29,7.45,1.075,0,
