t,T,H,V,P,TDS,PH,PFG,PR,VFE,VNC,
0,17,51,0,347,0,7.15,1.51,0.00,0,1,
2,18.2,47,0,298,0,7.15,1.25,0.00,0,1,
4,18.1,46,0,304,0,7.15,1.35,0.00,0,1,
6,18.7,45,0,305,0,7.15,1.15,0.00,0,1,
8,18.8,45,0,302,0,7.15,1.05,0.00,0,1,
10,18.7,45,0,305,0,7.15,1.35,0.00,0,1,
12,18.5,45,0,288,0,7.15,1.32,0.00,0,1,
14,18.7,45,0,287,0,7.15,1.22,0.00,0,1,
16,19,45,0,288,0,7.15,1.61,0.00,0,1,
18,19,44,0,288,0,7.15,1.09,0.00,0,1,
20,18.7,44,0,288,0,7.15,1.15,0.00,0,1,
22,18.4,45,385,44,57,6.89,0.85,2.57,0,0,
24,18.6,44,385,46,78,6.97,0.35,2.57,0,0,
